dataset,method,split,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,mrr,avg_first_hit_pos,median_first_hit_pos,full_coverage@1,full_coverage@3,full_coverage@5,full_coverage@10,full_coverage@20,full_coverage@50,avg_weakest_positive_rank,median_weakest_positive_rank,avg_gt_partitions,median_gt_partitions,total_queries
squad,coverage_kl_lam_0.1,val,67.72,67.29,67.72,67.43,67.72,84.66,84.3,28.39,42.41,77.45,90.68,90.39,18.28,30.37,79.97,96.76,96.61,9.79,17.75,82.02,100.0,100.0,5.07,9.65,82.91,77.72,2.25,1.0,66.85,83.94,90.1,96.45,100.0,100.0,2.31,1.0,1.01,1.0,26063
squad,coverage_kl_lam_0.1,test,68.04,67.67,68.04,67.79,68.04,84.99,84.64,28.47,42.55,77.82,91.0,90.69,18.32,30.45,80.33,96.79,96.64,9.78,17.75,82.29,100.0,100.0,5.07,9.64,83.17,78.05,2.22,1.0,67.3,84.29,90.39,96.5,100.0,100.0,2.29,1.0,1.01,1.0,13033
squad,coverage_kl_lam_0.1__final,train,87.54,87.04,87.54,87.21,87.54,97.24,96.99,32.66,48.79,93.16,98.99,98.84,19.99,33.22,93.94,99.89,99.85,10.11,18.34,94.28,100.0,100.0,5.06,9.64,94.32,92.51,1.25,1.0,86.54,96.75,98.7,99.81,100.0,100.0,1.29,1.0,1.01,1.0,91223
squad,coverage_kl_lam_0.1__final,val,68.65,68.21,68.65,68.36,68.65,85.06,84.69,28.52,42.6,78.06,90.81,90.51,18.3,30.41,80.48,96.69,96.53,9.78,17.74,82.45,100.0,100.0,5.07,9.65,83.36,78.33,2.23,1.0,67.77,84.33,90.22,96.37,100.0,100.0,2.3,1.0,1.01,1.0,26063
squad,coverage_kl_lam_0.1__final,test,68.99,68.62,68.99,68.74,68.99,85.5,85.13,28.63,42.79,78.51,90.94,90.64,18.31,30.43,80.79,96.68,96.52,9.77,17.73,82.72,100.0,100.0,5.07,9.64,83.63,78.67,2.21,1.0,68.24,84.77,90.33,96.36,100.0,100.0,2.28,1.0,1.01,1.0,13033
squad,coverage_kl_lam_0.25,train,84.0,83.54,84.0,83.69,84.0,95.69,95.43,32.12,47.99,90.8,98.19,98.03,19.82,32.94,91.9,99.7,99.65,10.09,18.31,92.45,100.0,100.0,5.06,9.64,92.54,90.16,1.36,1.0,83.08,95.17,97.88,99.61,100.0,100.0,1.4,1.0,1.01,1.0,91223
squad,coverage_kl_lam_0.25,val,67.98,67.56,67.98,67.7,67.98,84.85,84.49,28.44,42.5,77.68,90.76,90.44,18.29,30.39,80.15,96.85,96.7,9.8,17.77,82.2,100.0,100.0,5.07,9.65,83.06,77.93,2.24,1.0,67.14,84.14,90.12,96.56,100.0,100.0,2.31,1.0,1.01,1.0,26063
squad,coverage_kl_lam_0.25,test,68.81,68.36,68.81,68.51,68.81,85.08,84.74,28.51,42.61,78.14,90.84,90.59,18.32,30.43,80.57,96.82,96.67,9.78,17.75,82.58,100.0,100.0,5.07,9.64,83.46,78.45,2.21,1.0,67.9,84.39,90.35,96.51,100.0,100.0,2.27,1.0,1.01,1.0,13033
squad,coverage_kl_lam_0.25__final,train,89.23,88.73,89.23,88.9,89.23,97.71,97.49,32.83,49.04,94.16,99.17,99.05,20.04,33.29,94.82,99.9,99.87,10.11,18.35,95.11,100.0,100.0,5.06,9.64,95.15,93.6,1.21,1.0,88.24,97.26,98.92,99.84,100.0,100.0,1.24,1.0,1.01,1.0,91223
squad,coverage_kl_lam_0.25__final,val,68.53,68.11,68.53,68.25,68.53,85.06,84.71,28.51,42.6,78.03,90.83,90.52,18.31,30.42,80.45,96.8,96.63,9.79,17.76,82.45,100.0,100.0,5.07,9.65,83.33,78.28,2.23,1.0,67.68,84.35,90.22,96.46,100.0,100.0,2.3,1.0,1.01,1.0,26063
squad,coverage_kl_lam_0.25__final,test,69.41,68.98,69.41,69.12,69.41,85.38,85.04,28.62,42.77,78.6,90.98,90.7,18.34,30.47,80.96,96.69,96.53,9.77,17.73,82.89,100.0,100.0,5.07,9.64,83.79,78.89,2.2,1.0,68.55,84.71,90.42,96.36,100.0,100.0,2.26,1.0,1.01,1.0,13033
squad,coverage_kl_lam_0.5,train,79.18,78.76,79.18,78.9,79.18,93.25,93.0,31.29,46.76,87.37,96.78,96.61,19.53,32.46,88.88,99.39,99.33,10.06,18.25,89.79,100.0,100.0,5.06,9.64,89.97,86.79,1.54,1.0,78.34,92.74,96.44,99.28,100.0,100.0,1.58,1.0,1.01,1.0,91223
squad,coverage_kl_lam_0.5,val,66.83,66.39,66.83,66.53,66.83,84.64,84.29,28.38,42.4,77.07,90.5,90.22,18.25,30.31,79.52,96.86,96.71,9.8,17.78,81.65,100.0,100.0,5.07,9.65,82.51,77.2,2.26,1.0,65.95,83.94,89.93,96.56,100.0,100.0,2.33,1.0,1.01,1.0,26063
squad,coverage_kl_lam_0.5,test,67.85,67.46,67.85,67.59,67.85,85.09,84.76,28.52,42.62,77.74,90.96,90.71,18.34,30.47,80.21,96.85,96.72,9.79,17.77,82.19,100.0,100.0,5.07,9.64,83.05,77.87,2.22,1.0,67.06,84.42,90.46,96.6,100.0,100.0,2.27,1.0,1.01,1.0,13033
squad,coverage_kl_lam_0.5__final,train,86.75,86.27,86.75,86.43,86.75,96.88,96.68,32.56,48.64,92.66,98.79,98.67,19.96,33.16,93.5,99.83,99.81,10.11,18.34,93.89,100.0,100.0,5.06,9.64,93.94,91.99,1.28,1.0,85.8,96.47,98.55,99.78,100.0,100.0,1.31,1.0,1.01,1.0,91223
squad,coverage_kl_lam_0.5__final,val,68.16,67.71,68.16,67.86,68.16,84.97,84.6,28.48,42.55,77.8,90.69,90.39,18.28,30.37,80.21,96.68,96.53,9.78,17.74,82.24,100.0,100.0,5.07,9.65,83.15,78.05,2.23,1.0,67.26,84.23,90.1,96.38,100.0,100.0,2.3,1.0,1.01,1.0,26063
squad,coverage_kl_lam_0.5__final,test,69.07,68.66,69.07,68.8,69.07,85.43,85.09,28.64,42.79,78.48,90.96,90.71,18.34,30.47,80.82,96.8,96.67,9.79,17.76,82.78,100.0,100.0,5.07,9.64,83.65,78.69,2.2,1.0,68.25,84.75,90.45,96.55,100.0,100.0,2.26,1.0,1.01,1.0,13033
squad,coverage_kl_lam_1,train,80.62,80.19,80.62,80.33,80.62,93.93,93.66,31.52,47.11,88.36,97.15,96.99,19.62,32.59,89.75,99.42,99.37,10.06,18.26,90.55,100.0,100.0,5.06,9.64,90.72,87.76,1.49,1.0,79.75,93.4,96.84,99.33,100.0,100.0,1.53,1.0,1.01,1.0,91223
squad,coverage_kl_lam_1,val,67.33,66.92,67.33,67.06,67.33,84.47,84.1,28.31,42.3,77.17,90.6,90.29,18.26,30.34,79.74,96.75,96.6,9.79,17.75,81.81,100.0,100.0,5.07,9.65,82.7,77.45,2.26,1.0,66.51,83.73,89.97,96.45,100.0,100.0,2.33,1.0,1.01,1.0,26063
squad,coverage_kl_lam_1,test,68.06,67.66,68.06,67.79,68.06,85.16,84.83,28.53,42.64,77.91,90.98,90.72,18.33,30.47,80.36,97.02,96.88,9.81,17.79,82.38,100.0,100.0,5.07,9.64,83.2,78.08,2.21,1.0,67.26,84.5,90.46,96.75,100.0,100.0,2.27,1.0,1.01,1.0,13033
squad,coverage_kl_lam_1__final,train,87.65,87.18,87.65,87.34,87.65,97.12,96.92,32.64,48.76,93.19,98.86,98.75,19.98,33.19,93.97,99.84,99.82,10.11,18.34,94.33,100.0,100.0,5.06,9.64,94.38,92.57,1.26,1.0,86.71,96.72,98.63,99.79,100.0,100.0,1.29,1.0,1.01,1.0,91223
squad,coverage_kl_lam_1__final,val,68.24,67.81,68.24,67.95,68.24,84.87,84.5,28.45,42.51,77.79,90.83,90.54,18.31,30.43,80.3,96.74,96.59,9.78,17.75,82.29,100.0,100.0,5.07,9.65,83.18,78.08,2.23,1.0,67.38,84.13,90.25,96.44,100.0,100.0,2.3,1.0,1.01,1.0,26063
squad,coverage_kl_lam_1__final,test,68.89,68.48,68.89,68.62,68.89,85.48,85.13,28.63,42.8,78.42,91.11,90.86,18.36,30.51,80.8,96.93,96.78,9.79,17.77,82.75,100.0,100.0,5.07,9.64,83.59,78.61,2.19,1.0,68.07,84.79,90.6,96.62,100.0,100.0,2.26,1.0,1.01,1.0,13033
