dataset,method,tau,split,total_queries,recall@1,recall@3,recall@5,recall@10,recall@20,gt_recall@1,gt_recall@3,gt_recall@5,gt_recall@10,gt_recall@20,precision@1,precision@3,precision@5,precision@10,precision@20,f1@1,f1@3,f1@5,f1@10,f1@20,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,mrr,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
squad,mlp_info_nce_multi_tau_0.1,0.1,val,26063,67.96,84.74,90.64,96.7,100.0,67.5,84.39,90.33,96.54,100.0,67.96,28.42,18.27,9.78,5.07,67.66,42.45,30.35,17.74,9.65,67.96,77.6,80.07,82.11,83.02,77.88,100.0,1.01,1,2,1.0,0.12,2.24,1.0,0.3,0.3,0.33,0.34
squad,mlp_info_nce_multi_tau_0.1,0.1,test,13033,68.88,85.67,90.91,96.88,100.0,68.46,85.33,90.65,96.74,100.0,68.88,28.71,18.32,9.79,5.07,68.6,42.9,30.44,17.77,9.64,68.88,78.51,80.72,82.72,83.57,78.58,100.0,1.01,1,2,1.0,0.12,2.2,1.0,0.3,0.29,0.33,0.35
squad,mlp_info_nce_multi_tau_0.2,0.2,train,91223,85.42,96.22,98.26,99.61,100.0,84.88,95.85,97.99,99.49,100.0,85.42,32.24,19.8,10.07,5.06,85.06,48.19,32.9,18.27,9.64,85.42,91.61,92.51,93.02,93.16,91.07,100.0,1.01,1,2,1.0,0.11,1.34,1.0,0.3,0.29,0.33,0.34
squad,mlp_info_nce_multi_tau_0.2,0.2,val,26063,68.04,83.76,89.08,95.48,100.0,67.6,83.41,88.76,95.31,100.0,68.04,28.08,17.95,9.66,5.07,67.75,41.95,29.82,17.52,9.65,68.04,77.06,79.28,81.43,82.65,77.48,100.0,1.01,1,2,1.0,0.12,2.41,1.0,0.3,0.29,0.33,0.34
squad,mlp_info_nce_multi_tau_0.2,0.2,test,13033,68.06,84.1,89.41,95.74,100.0,67.62,83.78,89.15,95.58,100.0,68.06,28.19,18.02,9.68,5.07,67.76,42.13,29.94,17.56,9.64,68.06,77.25,79.48,81.59,82.74,77.58,100.0,1.01,1,2,1.0,0.12,2.37,1.0,0.3,0.29,0.32,0.34
squad,mlp_info_nce_multi_tau_0.5,0.5,train,91223,85.03,94.07,96.31,98.66,100.0,84.52,93.7,96.03,98.54,100.0,85.03,31.52,19.4,9.97,5.06,84.69,47.1,32.24,18.09,9.64,85.03,90.15,91.13,91.95,92.34,90.08,100.0,1.01,1,2,1.0,0.11,1.52,1.0,0.3,0.29,0.33,0.34
squad,mlp_info_nce_multi_tau_0.5,0.5,val,26063,66.81,81.13,86.58,93.75,100.0,66.4,80.74,86.24,93.58,100.0,66.81,27.16,17.44,9.48,5.07,66.54,40.6,28.97,17.2,9.65,66.81,74.98,77.27,79.66,81.32,75.86,100.0,1.01,1,2,1.0,0.12,2.7,1.0,0.3,0.3,0.33,0.34
squad,mlp_info_nce_multi_tau_0.5,0.5,test,13033,67.77,81.67,86.83,93.85,100.0,67.38,81.31,86.54,93.68,100.0,67.77,27.35,17.5,9.48,5.07,67.51,40.88,29.07,17.2,9.64,67.77,75.74,77.92,80.25,81.88,76.58,100.0,1.01,1,2,1.0,0.12,2.64,1.0,0.3,0.29,0.32,0.33
squad,mlp_kl_div_tau_0.01,0.01,train,91223,80.87,94.13,97.28,99.48,100.0,80.43,93.82,97.07,99.41,100.0,80.87,31.57,19.62,10.06,5.06,80.58,47.17,32.6,18.26,9.64,80.87,88.54,89.9,90.68,90.84,87.95,100.0,1.01,1,2,1.0,0.11,1.48,1.0,0.31,0.3,0.34,0.63
squad,mlp_kl_div_tau_0.01,0.01,val,26063,67.31,84.4,90.31,96.92,100.0,66.89,84.01,90.01,96.78,100.0,67.31,28.27,18.2,9.8,5.07,67.03,42.25,30.24,17.79,9.65,67.31,77.11,79.6,81.82,82.67,77.41,100.0,1.01,1,2,1.0,0.12,2.26,1.0,0.3,0.29,0.33,0.34
squad,mlp_kl_div_tau_0.01,0.01,test,13033,67.8,84.88,90.72,96.87,100.0,67.42,84.54,90.45,96.75,100.0,67.8,28.44,18.28,9.8,5.07,67.55,42.5,30.37,17.78,9.64,67.8,77.66,80.12,82.19,83.04,77.87,100.0,1.01,1,2,1.0,0.12,2.23,1.0,0.3,0.29,0.33,0.34
squad,mlp_kl_div_tau_0.05,0.05,train,91223,78.25,92.53,96.4,99.2,100.0,77.82,92.21,96.17,99.12,100.0,78.25,31.02,19.44,10.03,5.06,77.97,46.36,32.3,18.2,9.64,78.25,86.52,88.17,89.16,89.39,86.06,100.0,1.01,1,2,1.0,0.11,1.59,1.0,0.31,0.3,0.33,0.42
squad,mlp_kl_div_tau_0.05,0.05,val,26063,66.91,84.3,90.31,96.81,100.0,66.48,83.92,90.02,96.66,100.0,66.91,28.26,18.22,9.79,5.07,66.62,42.22,30.26,17.77,9.65,66.91,76.9,79.43,81.61,82.49,77.16,100.0,1.01,1,2,1.0,0.12,2.27,1.0,0.3,0.29,0.33,0.34
squad,mlp_kl_div_tau_0.05,0.05,test,13033,67.91,85.01,90.75,96.9,100.0,67.52,84.68,90.51,96.76,100.0,67.91,28.5,18.3,9.8,5.07,67.65,42.58,30.41,17.78,9.64,67.91,77.74,80.16,82.22,83.07,77.9,100.0,1.01,1,2,1.0,0.12,2.22,1.0,0.3,0.29,0.33,0.34
squad,mlp_kl_div_tau_0.07,0.07,train,91223,80.57,94.06,97.28,99.5,100.0,80.11,93.75,97.07,99.43,100.0,80.57,31.54,19.62,10.06,5.06,80.26,47.14,32.61,18.26,9.64,80.57,88.37,89.76,90.55,90.71,87.78,100.0,1.01,1,2,1.0,0.11,1.48,1.0,0.3,0.3,0.33,0.34
squad,mlp_kl_div_tau_0.07,0.07,val,26063,67.44,84.84,90.65,96.89,100.0,67.01,84.48,90.33,96.73,100.0,67.44,28.45,18.27,9.8,5.07,67.16,42.5,30.36,17.78,9.65,67.44,77.43,79.87,81.97,82.83,77.61,100.0,1.01,1,2,1.0,0.12,2.24,1.0,0.3,0.29,0.33,0.34
squad,mlp_kl_div_tau_0.07,0.07,test,13033,68.42,85.26,91.19,96.94,100.0,68.02,84.92,90.93,96.8,100.0,68.42,28.57,18.38,9.8,5.07,68.15,42.7,30.54,17.78,9.64,68.42,78.07,80.57,82.5,83.34,78.26,100.0,1.01,1,2,1.0,0.12,2.2,1.0,0.3,0.29,0.33,0.34
squad,mlp_kl_div_tau_0.1,0.1,train,91223,84.58,96.15,98.44,99.77,100.0,84.11,95.86,98.26,99.72,100.0,84.58,32.26,19.87,10.1,5.06,84.26,48.21,33.01,18.32,9.64,84.58,91.29,92.3,92.8,92.87,90.61,100.0,1.01,1,2,1.0,0.11,1.33,1.0,0.3,0.3,0.33,0.34
squad,mlp_kl_div_tau_0.1,0.1,val,26063,68.11,84.92,90.72,96.65,100.0,67.67,84.55,90.42,96.48,100.0,68.11,28.47,18.29,9.77,5.07,67.81,42.53,30.39,17.73,9.65,68.11,77.76,80.2,82.19,83.11,78.0,100.0,1.01,1,2,1.0,0.12,2.24,1.0,0.3,0.29,0.33,0.35
squad,mlp_kl_div_tau_0.1,0.1,test,13033,69.13,85.71,91.45,97.02,100.0,68.73,85.36,91.18,96.88,100.0,69.13,28.72,18.43,9.81,5.07,68.86,42.92,30.62,17.79,9.64,69.13,78.64,81.06,82.93,83.74,78.8,100.0,1.01,1,2,1.0,0.12,2.17,1.0,0.3,0.3,0.33,0.34
squad,mlp_kl_div_tau_0.2,0.2,train,91223,84.45,95.76,98.0,99.52,100.0,83.97,95.46,97.8,99.45,100.0,84.45,32.12,19.77,10.07,5.06,84.13,48.0,32.86,18.27,9.64,84.45,91.01,92.0,92.55,92.7,90.41,100.0,1.01,1,2,1.0,0.11,1.37,1.0,0.31,0.3,0.33,0.52
squad,mlp_kl_div_tau_0.2,0.2,val,26063,67.39,83.82,89.51,95.88,100.0,66.96,83.46,89.21,95.7,100.0,67.39,28.1,18.04,9.69,5.07,67.1,41.98,29.98,17.59,9.65,67.39,76.82,79.2,81.33,82.44,77.18,100.0,1.01,1,2,1.0,0.12,2.38,1.0,0.31,0.3,0.33,0.56
squad,mlp_kl_div_tau_0.2,0.2,test,13033,68.33,84.09,89.63,96.27,100.0,67.93,83.77,89.33,96.12,100.0,68.33,28.18,18.05,9.73,5.07,68.07,42.12,30.0,17.66,9.64,68.33,77.38,79.69,81.91,82.91,77.78,100.0,1.01,1,2,1.0,0.12,2.34,1.0,0.32,0.29,0.35,0.92
squad,mlp_kl_div_tau_0.5,0.5,train,91223,82.8,93.08,95.7,98.42,100.0,82.32,92.75,95.46,98.31,100.0,82.8,31.2,19.29,9.95,5.06,82.48,46.63,32.06,18.05,9.64,82.8,88.69,89.82,90.76,91.21,88.57,100.0,1.01,1,2,1.0,0.11,1.6,1.0,0.3,0.3,0.33,0.34
squad,mlp_kl_div_tau_0.5,0.5,val,26063,66.37,81.33,86.85,93.86,100.0,65.95,80.98,86.53,93.7,100.0,66.37,27.26,17.5,9.49,5.07,66.09,40.73,29.08,17.22,9.65,66.37,74.94,77.24,79.58,81.2,75.68,100.0,1.01,1,2,1.0,0.12,2.68,1.0,0.3,0.29,0.33,0.34
squad,mlp_kl_div_tau_0.5,0.5,test,13033,67.41,81.68,87.02,94.14,100.0,67.05,81.33,86.72,93.97,100.0,67.41,27.35,17.52,9.51,5.07,67.17,40.88,29.12,17.25,9.64,67.41,75.59,77.83,80.19,81.75,76.39,100.0,1.01,1,2,1.0,0.12,2.63,1.0,0.3,0.29,0.32,0.34
