dataset,method,hn_k,split,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,mrr,avg_first_hit_pos,median_first_hit_pos,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,total_queries
squad,mlp_info_nce_multi_hnm_13,13,val,67.62,67.19,67.62,67.33,67.62,84.76,84.43,28.42,42.47,77.5,90.46,90.19,18.24,30.31,79.89,96.77,96.61,9.79,17.75,81.99,100.0,100.0,5.07,9.65,82.88,77.68,2.26,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,26063
squad,mlp_info_nce_multi_hnm_13,13,test,68.43,68.02,68.43,68.16,68.43,85.34,85.01,28.6,42.75,78.17,90.91,90.62,18.31,30.43,80.49,96.96,96.83,9.8,17.79,82.53,100.0,100.0,5.07,9.64,83.36,78.3,2.21,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,13033
squad,mlp_info_nce_multi_hnm_18,18,train,83.22,82.68,83.22,82.86,83.22,95.49,95.27,32.1,47.95,90.38,98.09,97.97,19.83,32.93,91.51,99.69,99.67,10.09,18.31,92.08,100.0,100.0,5.06,9.64,92.17,89.67,1.38,1.0,100.0,1.01,1,2,1.0,0.11,0.31,0.31,0.33,0.35,91223
squad,mlp_info_nce_multi_hnm_18,18,val,67.97,67.54,67.97,67.69,67.97,84.92,84.56,28.46,42.53,77.71,90.83,90.53,18.31,30.42,80.18,96.7,96.54,9.78,17.74,82.15,100.0,100.0,5.07,9.65,83.06,77.92,2.24,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.39,26063
squad,mlp_info_nce_multi_hnm_18,18,test,68.87,68.48,68.87,68.61,68.87,85.28,84.92,28.58,42.7,78.34,90.94,90.68,18.33,30.46,80.74,96.71,96.59,9.78,17.75,82.7,100.0,100.0,5.07,9.64,83.59,78.59,2.2,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.36,13033
squad,mlp_kl_div_hnm_0,0,train,86.29,85.81,86.29,85.97,86.29,96.85,96.56,32.5,48.56,92.41,98.82,98.66,19.95,33.15,93.29,99.85,99.8,10.1,18.33,93.68,100.0,100.0,5.06,9.64,93.73,91.75,1.28,1.0,100.0,1.01,1,2,1.0,0.11,0.31,0.31,0.33,0.34,91223
squad,mlp_kl_div_hnm_0,0,val,68.32,67.89,68.32,68.03,68.32,85.02,84.68,28.51,42.6,77.91,90.64,90.38,18.29,30.38,80.28,96.66,96.53,9.78,17.74,82.3,100.0,100.0,5.07,9.65,83.21,78.11,2.24,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.36,26063
squad,mlp_kl_div_hnm_0,0,test,69.23,68.82,69.23,68.96,69.23,86.03,85.65,28.82,43.07,78.89,91.36,91.08,18.41,30.59,81.14,96.79,96.61,9.77,17.74,82.95,100.0,100.0,5.07,9.64,83.83,78.93,2.19,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.35,13033
squad,mlp_kl_div_hnm_4,4,train,77.91,77.48,77.91,77.62,77.91,92.03,91.7,30.85,46.1,86.07,95.78,95.56,19.31,32.09,87.68,98.85,98.76,10.0,18.14,88.74,100.0,100.0,5.06,9.64,89.07,85.67,1.65,1.0,100.0,1.01,1,2,1.0,0.11,0.31,0.31,0.33,0.35,91223
squad,mlp_kl_div_hnm_4,4,val,67.12,66.67,67.12,66.82,67.12,83.73,83.38,28.07,41.94,76.69,89.57,89.25,18.05,29.99,79.12,95.86,95.68,9.69,17.58,81.23,100.0,100.0,5.07,9.65,82.35,77.06,2.38,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,26063
squad,mlp_kl_div_hnm_4,4,test,67.88,67.49,67.88,67.62,67.88,84.23,83.9,28.23,42.19,77.31,89.93,89.64,18.12,30.11,79.69,96.18,96.05,9.73,17.65,81.79,100.0,100.0,5.07,9.64,82.82,77.64,2.32,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,13033
squad,mlp_kl_div_hnm_9,9,train,83.07,82.59,83.07,82.75,83.07,95.47,95.17,32.03,47.86,90.26,98.05,97.85,19.78,32.87,91.38,99.68,99.62,10.08,18.3,91.98,100.0,100.0,5.06,9.64,92.09,89.58,1.38,1.0,100.0,1.01,1,2,1.0,0.11,0.31,0.31,0.33,0.34,91223
squad,mlp_kl_div_hnm_9,9,val,67.84,67.4,67.84,67.55,67.84,84.76,84.4,28.41,42.45,77.59,90.59,90.31,18.27,30.35,80.05,96.68,96.54,9.78,17.74,82.09,100.0,100.0,5.07,9.65,82.99,77.84,2.25,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,26063
squad,mlp_kl_div_hnm_9,9,test,68.42,67.99,68.42,68.13,68.42,85.27,84.93,28.58,42.71,78.14,90.95,90.66,18.33,30.45,80.52,96.84,96.69,9.79,17.76,82.51,100.0,100.0,5.07,9.64,83.38,78.33,2.2,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.4,13033
squad,mlp_kl_div_hnm_13,13,train,81.03,80.58,81.03,80.73,81.03,94.48,94.18,31.69,47.36,88.83,97.52,97.32,19.67,32.69,90.14,99.56,99.49,10.07,18.27,90.87,100.0,100.0,5.06,9.64,91.01,88.17,1.46,1.0,100.0,1.01,1,2,1.0,0.11,0.31,0.31,0.33,0.34,91223
squad,mlp_kl_div_hnm_13,13,val,67.48,67.03,67.48,67.18,67.48,84.56,84.21,28.35,42.36,77.31,90.52,90.24,18.25,30.32,79.81,96.61,96.45,9.77,17.73,81.86,100.0,100.0,5.07,9.65,82.79,77.58,2.26,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,26063
squad,mlp_kl_div_hnm_13,13,test,68.6,68.19,68.6,68.33,68.6,85.05,84.69,28.49,42.58,78.05,90.6,90.33,18.26,30.34,80.4,96.99,96.86,9.81,17.8,82.55,100.0,100.0,5.07,9.64,83.37,78.32,2.21,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,13033
squad,mlp_kl_div_hnm_18,18,train,85.73,85.25,85.73,85.41,85.73,96.69,96.4,32.44,48.48,92.08,98.72,98.53,19.92,33.1,92.98,99.83,99.77,10.1,18.33,93.41,100.0,100.0,5.06,9.64,93.47,91.4,1.29,1.0,100.0,1.01,1,2,1.0,0.11,0.31,0.31,0.33,0.35,91223
squad,mlp_kl_div_hnm_18,18,val,68.1,67.68,68.1,67.82,68.1,84.8,84.44,28.42,42.47,77.7,90.57,90.26,18.25,30.33,80.12,96.64,96.47,9.77,17.73,82.16,100.0,100.0,5.07,9.65,83.09,77.96,2.25,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,26063
squad,mlp_kl_div_hnm_18,18,test,69.42,69.01,69.42,69.15,69.42,85.54,85.22,28.67,42.85,78.67,91.21,90.95,18.39,30.55,81.06,96.63,96.49,9.77,17.72,82.88,100.0,100.0,5.07,9.64,83.8,78.89,2.19,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,13033
